div,data,TeamBlue,TeamPurple,MPB,MPP,MR,TRB,TRP,FRR,RB,RP,W10B,L10B,W10P,L10P,HWB,HWP,GBB,GBP,BO,url
lcs-s-16,2016-03-13,Team Dignitas - LoL,Echo Fox,0,1,P,58,48,P,892,962,7.0,11.0,7.0,11.0,0.0,100.0,81.0,19.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98314-team-dignitas-lol-vs-echo-fox
lcs-s-16,2016-01-24,Team Dignitas - LoL,Team Solomid,0,1,P,58,23,P,892,1126,7.0,24.0,7.0,24.0,62.5,37.5,62.5,37.5,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98296-team-dignitas-lol-vs-team-solomid
lcs-s-16,2016-02-08,Team Dignitas - LoL,Echo Fox,1,0,B,58,48,B,892,962,7.0,11.0,7.0,11.0,100.0,0.0,75.0,25.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98269-team-dignitas-lol-vs-echo-fox
lcs-s-16,2016-01-24,Renegades - LoL,Team Dignitas - LoL,0,1,P,33,58,P,1052,892,7.0,22.0,7.0,22.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98282-renegades-lol-vs-team-dignitas-lol
lcs-s-16,2016-03-20,Counter Logic Gaming LoL,Team Dignitas - LoL,1,0,B,11,58,B,1221,892,27.0,22.0,27.0,22.0,37.5,62.5,69.0,31.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98319-counter-logic-gaming-lol-vs-team-dignitas-lol
lcs-s-16,2016-01-16,Team Solomid,Counter Logic Gaming LoL,0,1,P,23,11,P,1126,1221,20.0,15.0,20.0,15.0,25.0,75.0,25.0,75.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98279-team-solomid-vs-counter-logic-gaming-lol
lcs-s-16,2016-02-22,Team Impulse,Echo Fox,0,1,P,45,48,P,972,962,15.0,11.0,15.0,11.0,100.0,0.0,52.0,48.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98322-team-impulse-vs-echo-fox
lcs-s-16,2016-02-06,Counter Logic Gaming LoL,Immortals,0,1,P,11,5,P,1221,1284,27.0,2.0,27.0,2.0,0.0,100.0,27.0,73.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98268-counter-logic-gaming-lol-vs-immortals
lcs-s-16,2016-02-28,Cloud 9,Counter Logic Gaming LoL,0,1,P,19,11,P,1141,1221,22.0,15.0,22.0,15.0,50.0,50.0,55.0,45.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98340-cloud-9-vs-counter-logic-gaming-lol
lcs-s-16,2016-02-28,Team Liquid LoL,Team Solomid,1,0,B,22,23,B,1131,1126,20.0,24.0,20.0,24.0,62.5,37.5,52.0,48.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98329-team-liquid-lol-vs-team-solomid
lcs-s-16,2016-01-31,Team Solomid,NRG eSports,0,1,P,23,37,P,1126,1022,20.0,10.0,20.0,10.0,100.0,0.0,100.0,0.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98267-team-solomid-vs-nrg-esports
lcs-s-16,2016-02-14,Team Solomid,Team Impulse,1,0,B,23,45,B,1126,972,20.0,18.0,20.0,18.0,33.333333333333336,66.66666666666667,60.0,40.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98261-team-solomid-vs-team-impulse
lcs-s-16,2016-03-20,Echo Fox,Renegades - LoL,0,1,P,48,33,P,962,1052,6.0,13.0,6.0,13.0,0.0,100.0,87.0,13.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98303-echo-fox-vs-renegades-lol
lcs-s-16,2016-01-25,Renegades - LoL,Team Impulse,0,1,P,33,45,P,1052,972,7.0,18.0,7.0,18.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98294-renegades-lol-vs-team-impulse
lcs-s-16,2016-02-01,Echo Fox,Immortals,0,1,P,48,5,P,962,1284,6.0,2.0,6.0,2.0,100.0,0.0,100.0,0.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98264-echo-fox-vs-immortals
lcs-s-16,2016-01-31,Renegades - LoL,Immortals,0,1,P,33,5,P,1052,1284,7.0,2.0,7.0,2.0,100.0,0.0,100.0,0.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98276-renegades-lol-vs-immortals
lcs-s-16,2016-01-31,Cloud 9,Team Dignitas - LoL,1,0,B,19,58,B,1141,892,22.0,22.0,22.0,22.0,12.5,87.5,12.5,87.5,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98290-cloud-9-vs-team-dignitas-lol
lcs-s-16,2016-03-19,Renegades - LoL,Team Impulse,1,0,B,33,45,B,1052,972,7.0,18.0,7.0,18.0,50.0,50.0,36.0,64.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98339-renegades-lol-vs-team-impulse
lcs-s-16,2016-02-07,Team Liquid LoL,Immortals,0,1,P,22,5,P,1131,1284,20.0,2.0,20.0,2.0,100.0,0.0,23.0,77.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98272-team-liquid-lol-vs-immortals
lcs-s-16,2016-01-30,Cloud 9,Team Solomid,0,1,P,19,23,P,1141,1126,22.0,24.0,22.0,24.0,50.0,50.0,50.0,50.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98255-cloud-9-vs-team-solomid
lcs-s-16,2016-02-07,Renegades - LoL,Team Solomid,0,1,P,33,23,P,1052,1126,7.0,24.0,7.0,24.0,0.0,100.0,10.0,90.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98288-renegades-lol-vs-team-solomid
lcs-s-16,2016-02-14,Team Solomid,Counter Logic Gaming LoL,1,0,B,23,11,B,1126,1221,20.0,15.0,20.0,15.0,37.5,62.5,26.0,74.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98324-team-solomid-vs-counter-logic-gaming-lol
lcs-s-16,2016-03-19,Immortals,Team Solomid,1,0,B,5,23,B,1284,1126,18.0,24.0,18.0,24.0,50.0,50.0,90.0,10.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98337-immortals-vs-team-solomid
lcs-s-16,2016-03-12,Cloud 9,Renegades - LoL,1,0,B,19,33,B,1141,1052,22.0,13.0,22.0,13.0,0.0,100.0,95.0,5.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98315-cloud-9-vs-renegades-lol
lcs-s-16,2016-02-21,Cloud 9,NRG eSports,1,0,B,19,37,B,1141,1022,22.0,10.0,22.0,10.0,0.0,100.0,60.0,40.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98320-cloud-9-vs-nrg-esports
lcs-s-16,2016-02-21,Counter Logic Gaming LoL,Renegades - LoL,1,0,B,11,33,B,1221,1052,27.0,13.0,27.0,13.0,0.0,100.0,78.0,22.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98307-counter-logic-gaming-lol-vs-renegades-lol
lcs-s-16,2016-03-13,Cloud 9,Team Impulse,1,0,B,19,45,B,1141,972,22.0,18.0,22.0,18.0,66.66666666666667,33.333333333333336,67.0,33.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98310-cloud-9-vs-team-impulse
lcs-s-16,2016-02-21,Echo Fox,Team Liquid LoL,1,0,B,48,22,B,962,1131,6.0,13.0,6.0,13.0,100.0,0.0,52.0,48.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98342-echo-fox-vs-team-liquid-lol
